Series;Time;Value
Alliance (Failed - False);2019-05-25T16:05:32.000Z;49
Alliance (Failed - False);2019-05-25T16:05:34.000Z;50
Alliance (Failed - False);2019-05-25T16:05:36.000Z;52
Alliance (Failed - False);2019-05-25T16:05:38.000Z;53
Alliance (Failed - False);2019-05-25T16:05:40.000Z;54
Alliance (Failed - False);2019-05-25T16:05:42.000Z;55
Alliance (Failed - False);2019-05-25T16:05:44.000Z;56
Alliance (Failed - False);2019-05-25T16:05:46.000Z;56
Alliance (Failed - False);2019-05-25T16:05:48.000Z;56
Alliance (Failed - False);2019-05-25T16:05:50.000Z;56
Alliance (Failed - False);2019-05-25T16:05:52.000Z;56
Alliance (Failed - False);2019-05-25T16:05:54.000Z;56
Alliance (Failed - False);2019-05-25T16:05:56.000Z;56
Alliance (Failed - False);2019-05-25T16:05:58.000Z;56
Alliance (Failed - False);2019-05-25T16:06:00.000Z;56
Alliance (Failed - False);2019-05-25T16:06:02.000Z;56
Alliance (Failed - False);2019-05-25T16:06:04.000Z;56
Alliance (Failed - False);2019-05-25T16:06:06.000Z;56
Alliance (Failed - False);2019-05-25T16:06:08.000Z;56
Alliance (Failed - False);2019-05-25T16:06:10.000Z;56
Alliance (Failed - False);2019-05-25T16:06:12.000Z;56
Alliance (Failed - False);2019-05-25T16:06:14.000Z;58
Alliance (Failed - False);2019-05-25T16:06:16.000Z;60
Alliance (Failed - False);2019-05-25T16:06:18.000Z;61
Alliance (Failed - False);2019-05-25T16:06:20.000Z;62
Alliance (Failed - False);2019-05-25T16:06:22.000Z;63
Alliance (Failed - False);2019-05-25T16:06:24.000Z;64
Alliance (Failed - False);2019-05-25T16:06:26.000Z;65
Alliance (Failed - False);2019-05-25T16:06:28.000Z;65
Alliance (Failed - False);2019-05-25T16:06:30.000Z;65
Alliance (Failed - False);2019-05-25T16:06:32.000Z;65
Alliance (Failed - False);2019-05-25T16:06:34.000Z;65
Alliance (Failed - False);2019-05-25T16:06:36.000Z;65
Alliance (Failed - False);2019-05-25T16:06:38.000Z;65
Alliance (Failed - False);2019-05-25T16:06:40.000Z;65
Alliance (Failed - False);2019-05-25T16:06:42.000Z;65
Alliance (Failed - False);2019-05-25T16:06:44.000Z;65
Alliance (Failed - False);2019-05-25T16:06:46.000Z;65
Alliance (Failed - False);2019-05-25T16:06:48.000Z;65
Alliance (Failed - False);2019-05-25T16:06:50.000Z;65
Alliance (Failed - False);2019-05-25T16:06:52.000Z;65
Alliance (Failed - False);2019-05-25T16:06:54.000Z;65
Alliance (Failed - False);2019-05-25T16:06:56.000Z;65
Alliance (Failed - False);2019-05-25T16:06:58.000Z;65
Alliance (Failed - False);2019-05-25T16:07:00.000Z;65
Alliance (Failed - False);2019-05-25T16:07:02.000Z;66
Alliance (Failed - False);2019-05-25T16:07:04.000Z;67
Alliance (Failed - False);2019-05-25T16:07:06.000Z;68
Alliance (Failed - False);2019-05-25T16:07:08.000Z;69
Alliance (Failed - False);2019-05-25T16:07:10.000Z;70
Alliance (Failed - False);2019-05-25T16:07:12.000Z;70
Alliance (Failed - False);2019-05-25T16:07:14.000Z;70
Alliance (Failed - False);2019-05-25T16:07:16.000Z;70
Alliance (Failed - False);2019-05-25T16:07:18.000Z;70
Alliance (Failed - False);2019-05-25T16:07:20.000Z;70
Alliance (Failed - False);2019-05-25T16:07:22.000Z;70
Alliance (Failed - False);2019-05-25T16:07:24.000Z;70
Alliance (Failed - False);2019-05-25T16:07:26.000Z;70
Alliance (Failed - False);2019-05-25T16:07:28.000Z;71
Alliance (Failed - False);2019-05-25T16:07:30.000Z;71
Alliance (Failed - False);2019-05-25T16:07:32.000Z;71
Alliance (Failed - False);2019-05-25T16:07:34.000Z;71
Alliance (Failed - False);2019-05-25T16:07:36.000Z;71
Alliance (Failed - False);2019-05-25T16:07:38.000Z;71
Alliance (Failed - False);2019-05-25T16:07:40.000Z;71
